NAME,ADDRESS,LATITUDE,LONGITUDE
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,34.15493887,-118.8157364
EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,34.0236473,-118.1841648
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,34.09639136,-118.3252349
KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,34.06303893,-117.9674378
LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,33.85970662,-118.148403
MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,34.14875866,-117.9926677
MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,34.04946606,-118.1382622
STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,33.82391446,-118.3560969
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,33.85808331,-117.553858
MODOC MEDICAL CENTER,228 W MCDOWELL AVE,41.48005626,-120.545744
SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,36.65903046,-121.6459838
HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,33.78272717,-117.8338919
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,14851 YORBA STREET,33.74746074,-117.8310556
KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,33.93449589,-117.8939488
KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,33.76353321,-117.995256
KAWEAH DELTA MENTAL HEALTH HOSPITAL,1100 SO. AKERS STREET,36.32084395,-119.3482345
CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,30.84527535,-82.00505739
DAUTERIVE HOSPITAL,600 N LEWIS AVE.,30.00690698,-91.79452385
CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,31.32360364,-95.43889931
CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,31.32737894,-92.44013511
REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,32.82399167,-92.65664868
SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,32.77612793,-92.40562585
RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT ST.,31.56117486,-91.42606698
CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,32.0773298,-92.09444821
BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,34.28325037,-83.11897237
COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,33.80709287,-118.1933899
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,37.7064062,-122.1646545
KINDRED HOSPITAL PARAMOUNT,16453 SOUTH COLORADO AVENUE,33.88463186,-118.1622671
DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,33.92803135,-118.0679897
PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,38.084846,-89.349108
ST JOSEPH'S HOSPITAL SAVANNAH,11705 MERCY BOULEVARD,31.98543032,-81.15455637
UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,32.8862977,-84.33650699
PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,32.06696234,-84.2560502
ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,32.88798074,-84.6923449
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,33.38483465,-84.75774669
DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",18.380443,-65.95579
BROWN COUNTY COMMUNITY TREATMENT CTR,3150 GERSHWIN DRIVE,44.52271226,-87.92482708
WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,43.03581215,-88.03726582
HOSPITAL PSIQUIATRICO DE NINOS Y ADOLESCENTES,"100 AVE LAUREL 100, URB. SANTA JUANITA",18.36765566,-66.15439126
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,31.25219156,-92.48198781
OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,29.70267142,-90.5652539
FELICIANA FORENSIC FACILITY,4502 HWY 951,30.83263569,-91.21066049
UNITED MEDICAL HEALTHWEST-NEW ORLEANS,3201 WALL BOULEVARD,29.86597947,-90.03069185
RIPON MEDICAL CENTER,845 PARKSIDE ST,43.83437609,-88.81775153
VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,41.83213908,-71.43314954
TOMAH VA MEDICAL CENTER,500 E VETERANS ST,44.00308068,-90.49331901
ASCENSION GOOD SAMARITAN HOSPITAL,601 S CENTER AVE,45.17563254,-89.68183128
RESTPADD PSYCHIATRIC HEALTH FACILITY,2750 EUREKA WAY,40.58659539,-122.4119741
THE CHAMPION CENTER,303 SOUTH C STREET,34.63537161,-120.4521883
STEWART WEBSTER HOSPITAL,580 ALSTON STREET,32.08616827,-84.66069977
KAISER FOUNDATION HOSPITAL - ONTARIO,2295 S. VINEYARD AVENUE,34.03207956,-117.6085993
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,34.04730564,-117.2516368
ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,34.13467236,-117.27702
KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION,4647 ZION AVENUE,32.79156258,-117.0951595
SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,32.8968589,-117.2428711
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,33.03734478,-117.2841834
SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DRIVE,32.79829578,-117.1549778
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,32.75477023,-117.1657314
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,37.7865092,-122.4560306
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,37.79070454,-122.4312945
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,37.77408876,-122.4537516
KAISER FOUNDATION HOSPITAL - SANTA ROSA,401 BICENTENNIAL WAY,38.47179301,-122.7270644
KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO,975 SERENO DRIVE,38.12690208,-122.2483773
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,38.66392502,-121.7921452
ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,3100 SUMMIT STREET,37.82013961,-122.2640042
SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,37.71228835,-122.1434937
ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,37.63344199,-122.0879125
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,2510 NORTH CALIFORNIA STREET,37.9765963,-121.2910709
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,37.97046719,-121.2881828
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,250 SOUTH GRAND AVENUE,34.13265458,-117.8712597
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,34.12816563,-118.2566432
KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BOULEVARD,34.09857365,-118.2941753
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA STREET,34.21856419,-118.4302193
PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER,18321 CLARK STREET,34.17039322,-118.5319041
SHRINERS HOSPITAL FOR CHILDREN - L.A.,3160 GENEVA STREET,34.06720478,-118.2863921
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,33.83364001,-118.079678
ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE,38.93561886,-122.6201445
VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDREN'S PLACE,36.88404783,-119.8002424
EISENHOWER MEDICAL CENTER,39000 BOB HOPE DR,33.76335207,-116.4062411
GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,37.25207874,-121.9465769
KAISER FOUNDATION HOSPITAL - SANTA CLARA,700 LAWRENCE EXPRESSWAY,37.33540138,-121.998873
LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD,725 WELCH ROAD,37.43600458,-122.17539
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,1100 VETERANS BOULEVARD,37.48884784,-122.2233901
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,37.98308958,-122.0334968
SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,37.98223445,-121.8029785
KAISER FOUNDATION HOSPITAL - SACRAMENTO,2025 MORSE AVENUE,38.60179775,-121.393144
SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,39.22801629,-121.0474998
LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,33.84751418,-118.0383023
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,654 CAMINO DE LOS MARES,33.45706524,-117.6501839
FREMONT MEDICAL CENTER,970 PLUMAS STREET,39.14310632,-121.618012
PIEDMONT MOUNTAINSIDE HOSPITAL,1266 EAST CHURCH STREET,34.45824868,-84.41291289
ST MARY'S HOSPITAL,1230 BAXTER STREET,33.94722132,-83.40525246
RIDGEVIEW INSTITUTE,3995 SOUTH COBB DRIVE SE,33.85644329,-84.51105483
WESTERLY HOSPITAL,25 WELLS ST,41.36218908,-71.82530324
SSM HEALTH ST MARY'S HOSPITAL - MADISON,700 SOUTH PARK ST,43.05933846,-89.40142922
AURORA PSYCHIATRIC HOSPITAL,1220 DEWEY AVE,43.0467651,-88.00771643
THEDACARE MEDICAL CENTER BERLIN,225 MEMORIAL DRIVE,43.97847715,-88.94122636
MERCY HOSPITAL NORTHWEST ARKANSAS,2710 RIFE MEDICAL LANE,36.30899285,-94.18297802
ST CROIX REGIONAL MEDICAL CENTER,235 STATE STREET,45.40903243,-92.64257812
WESTFIELDS HOSPITAL AND CLINIC,535 HOSPITAL RD,45.11776075,-92.55550038
ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,43.7623479,-87.74753796
VERNON MEMORIAL HOSPITAL,507 SOUTH MAIN ST,43.55167397,-90.88839128
PIH HEALTH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,33.9343518,-118.130904
PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,4320 MARICOPA STREET,33.83934812,-118.3597215
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET,34.05013083,-117.2640945
ASCENSION NE WISCONSIN MERCY CAMPUS,500 S OAKWOOD RD,44.01242072,-88.60104549
MEDSTAR- GEORGETOWN UNIVERSITY HOSPITAL,"3800 RESERVOIR ROAD, NW",38.91195851,-77.07525457
ADVENTHEALTH DADE CITY,13100 FORT KING RD,28.34796286,-82.20072008
DELRAY MEDICAL CENTER,5352 LINTON BLVD,26.43719284,-80.12778775
POINCIANA MEDICAL CENTER,325 CYPRESS PKWY,28.14478076,-81.47668786
ARBOUR FULLER HOSPITAL,200 MAY STREET,41.92408385,-71.36112256
ARBOUR HUMAN RESOURCE INSTITUTE,227 BABCOCK STREET,42.35077951,-71.12124228
ASCENSION ST VINCENT'S CLAY COUNTY,1670 ST. VINCENT'S WAY,30.10876243,-81.83268869
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,2275 SW 22ND LANE,29.16587554,-82.16233494
"NATCHAUG HOSPITAL, INC.",189 STORRS RD,41.74110392,-72.19801148
ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH,5850 SE COMMUNITY DR,27.13343729,-80.22245582
