,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
0,BAPTIST HEALTH MEDICAL CENTER - VB,EAST MAIN & SOUTH 20TH STREETS,VAN BUREN,AR,72956,,U,13.62,481,39,"2,379",168,481,39,"2,379",168,444,31,1891,168,0,159262,21057,21057,952278,1649629,132800,2669348,6008644,21299172,27307816,204435,0,952278,3000,0,0,286659,0,0,1997257,0,747024,896,196285,3228121,0,0,0,0,10397078,713282,0,0,0,0,3539400,4252682,0,0,0,5991294,5991294,10243976,153102,153102,10397078,0,0,6289807,21018010,27307817,2925510,2776630,148880,4222,153102,0,153102,0.1,0,0
1,MARTIN MEDICAL CENTER,200 HOSPITAL AVENUE,STUART,FL,34995,MARTIN,U,"3,191.75","31,535",521,"47,932",26952,"31,535",521,"47,932","26,952",26412,447,41124,26952,5334134,11046666,8401251,11771030,53214888,70396564,10713115,110910856,385563561,349176942,734740503,10735835,0,51795877,670976,70251,0,-1276366,167232819,0,155062552,-95704766,10790068,4706818,41597276,284651846,0,0,12262992,12262992,673094935,12400728,39698288,9704,7845000,0,1368455,61322175,0,293943607,0,59049934,352993541,414315716,258779219,258779219,673094935,0,0,385563560,362804137,748367697,128193757,123611452,4582305,-15211355,-10629050,0,-10629050,0.15,4543107,52842459
2,NORTH TEXAS MEDICAL CENTER,1900 HOSPITAL BOULEVARD,GAINSVILLE,TX,76240-,COOKE,R,168,707,36,"2,074",175,"5,205",36,"2,074",175,534,31,1708,175,112588,1824715,593966,594602,2505569,4270428,287577,5386933,6044770,14374988,20419758,373538,14900,2505569,167077,1480,0,7554343,0,0,64704590,-60372810,420942,744224,1175736,20340422,0,0,1993364,1993364,44859173,754648,1194543,0,280960,0,390623,2620774,0,0,0,41380476,41380476,44001250,857923,857923,44859173,0,0,6638309,14729903,21368212,6034594,6775997,-741403,5322236,4580833,0,4580833,0.26,841405,2189792
3,BAPTIST HEALTH MEDICAL CENTER - FS,1001 TOWSON AVENUE,FORT SMITH,AR,72901,,U,155.1,"9,738",320,"19,520",2077,"10,556",343,"20,923","2,170",9015,289,17629,2077,0,3304300,524684,524684,10427886,23977131,1256295,35451168,109472743,136078266,245551009,2331187,0,10427886,5200,0,0,2773104,0,0,23691063,0,7068867,303366,1411644,35248044,0,0,0,0,163404703,9158269,211906,0,0,0,0,9370175,0,0,154918411,0,154918411,164288586,-883883,-883883,163404703,0,103986,110132941,135418068,245551009,35860701,37450285,-1589584,705701,-883883,0,-883883,0.14,0,0
4,LINCOLNHEALTH,6 ST. ANDREWS LANE,BOOTHBAY HARBOR,ME,04538-,LINCOLN,R,362.19,"1,793",25,"9,125",382,"19,312",67,"24,455",382,1377,21,7665,382,202374,1047204,851792,851792,6124146,15117362,928865,18206588,9440440,21196720,30637160,0,0,0,0,0,0,4425475,0,591564,6985850,0,3294397,0,0,23717347,0,12633553,3335454,15969007,86448474,1617780,2630412,0,0,17032,1971307,17186883,0,9448243,0,3303566,12751809,29938692,56509782,56509782,86448474,0,0,10567431,23595634,34163065,21394222,21973982,-579760,61805,-517955,0,-517955,0.59,1692896,2070344
5,WALDO COUNTY GENERAL HOSPITAL,118 NORTHPORT AVENUE,BELFAST,ME,4915,WALDO,R,574.95,"1,499",25,"2,300",312,"3,794",25,"2,300",312,915,21,1932,312,318681,1457938,1169545,1169545,11464898,13269718,1273069,20562710,6594055,28862886,35456941,0,0,0,0,0,0,6779946,59170587,0,32302907,-23462744,1395246,144772,232801,84234649,0,28559373,10504515,39063888,160328430,2473824,5308848,0,496550,42083,-1152957,10556357,4139083,4342116,2530738,0,11011937,21568294,138760136,138760136,160328430,0,0,7811551,32537398,40348949,25168895,24734616,434279,-2656807,-2222528,0,-2222528,0.58,3056258,5419568
6,STEPHENS MEMORIAL HOSPITAL - CAH,181 MAIN STREET,NORWAY,ME,4268,OXFORD,R,345,"1,129",25,"2,300",343,"14,458",25,"2,300",343,896,21,1932,343,145190,1864584,1315237,1315237,7964494,10916386,757142,17465580,5969359,23288733,29258092,0,0,0,0,0,0,23551911,0,0,5004222,0,1701644,0,4971280,35229057,0,0,6428094,6428094,64089320,2800983,3147046,0,0,0,10148761,16096790,0,4539173,0,3499616,8038789,24135579,39953741,39953741,64089320,0,0,7049894,26141179,33191073,18562833,18595097,-32264,263065,230801,0,230801,0.6,2745279,3679143
7,INDIAN RIVER MEMORIAL HOSPITA.L,1000 36TH STREET,VERO BEACH,FL,32960,,U,"1,424.44","13,293",310,"28,520",3309,"14,631",332,"30,544","3,578",11633,286,26312,3309,1200795,2628266,1885417,5358823,34118367,45091713,3131429,62668801,125543668,142461970,268005638,4853332,585818,34228663,1456326,37260,0,23200433,0,0,105398685,-67840319,5350181,2958931,17793831,90160342,0,3680336,9469534,13149870,201376343,12555418,9852057,0,0,0,11614072,34021547,0,0,0,23467506,23467506,57489053,143887290,143887290,201376343,0,0,131956801,167851870,299808671,68964609,79210080,-10245471,4401601,-5843870,0,-5843870,0.23,2326773,22572410
8,CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,75835,HOUSTON,U,12.75,137,25,"2,300",86,"1,310",25,"2,300",86,137,25,2300,86,0,3100562,704221,704221,967867,2286782,50543,2460359,934460,9898077,10832537,99503,5473,967867,0,0,0,-590,0,0,8911316,-7307143,0,0,0,1596330,0,0,0,0,1860911,276986,-1240,-37042,1743573,0,0,1982277,0,0,0,285981,285981,2268258,-407347,-407347,1860911,0,0,935435,11263703,12199138,2472362,3254649,-782287,374940,-407347,0,-407347,0.23,0,0
9,KNOX COUNTY HOSPITAL,712 SOUTH FIFTH,KNOX CITY,TX,79529,,R,40.73,168,28,"4,200",40,"7,900",28,"4,200",40,115,28,4200,40,13864,62594,27476,27476,2287991,6435536,109075,6679068,347221,35737482,36084703,71264,69803,2287991,11000,0,0,8006964,0,0,39555833,-704779,471639,32647,0,48050879,0,0,8012,8012,52006331,127404,387205,-33467,0,14492,0,1221205,0,0,0,0,0,1221205,50785126,50785126,52006331,0,0,381991,35702712,36084703,18942529,8723527,10219002,2996371,13215373,0,13215373,0.19,157688,428807
