,NAME_x,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges,NAME_y,LATITUDE,LONGITUDE,Absolute Net Income,Sign Net Income
2,NORTH TEXAS MEDICAL CENTER,1900 HOSPITAL BOULEVARD,GAINSVILLE,TX,76240-,COOKE,R,168.00,707,36,"2,074",175,"5,205",36,"2,074",175,534.0,31.0,1708.0,175.0,112588.0,1824715.0,593966.0,594602.0,2505569.0,4270428.0,287577.0,5386933.0,6044770.0,14374988.0,20419758.0,373538.0,14900.0,2505569.0,167077.0,1480.0,0,7554343.0,0,0,64704590.0,-60372810.0,420942.0,744224.0,1175736.0,20340422.0,0.0,0,1993364.0,1993364.0,44859173.0,754648.0,1194543.0,0,280960.0,0,390623.0,2620774.0,0,0,0,41380476.0,41380476.0,44001250.0,857923.0,857923.0,44859173.0,0,0,6638309.0,14729903.0,21368212.0,6034594.0,6775997.0,-741403.0,5322236.0,4580833.0,0,4580833.0,0.26,841405.0,2189792.0,NORTH TEXAS MEDICAL CENTER,33.64636264,-97.1627319,4580833.0,+
5,WALDO COUNTY GENERAL HOSPITAL,118 NORTHPORT AVENUE,BELFAST,ME,04915,WALDO,R,574.95,"1,499",25,"2,300",312,"3,794",25,"2,300",312,915.0,21.0,1932.0,312.0,318681.0,1457938.0,1169545.0,1169545.0,11464898.0,13269718.0,1273069.0,20562710.0,6594055.0,28862886.0,35456941.0,0,0,0,0,0,0,6779946.0,59170587.0,0,32302907.0,-23462744.0,1395246.0,144772.0,232801.0,84234649.0,0.0,28559373.0,10504515.0,39063888.0,160328430.0,2473824.0,5308848.0,0,496550.0,42083.0,-1152957.0,10556357.0,4139083.0,4342116.0,2530738.0,0,11011937.0,21568294.0,138760136.0,138760136.0,160328430.0,0,0,7811551.0,32537398.0,40348949.0,25168895.0,24734616.0,434279.0,-2656807.0,-2222528.0,0,-2222528.0,0.58,3056258.0,5419568.0,WALDO COUNTY GENERAL HOSPITAL,44.41249147,-68.99395042,2222528.0,-
6,STEPHENS MEMORIAL HOSPITAL - CAH,181 MAIN STREET,NORWAY,ME,04268,OXFORD,R,345.00,"1,129",25,"2,300",343,"14,458",25,"2,300",343,896.0,21.0,1932.0,343.0,145190.0,1864584.0,1315237.0,1315237.0,7964494.0,10916386.0,757142.0,17465580.0,5969359.0,23288733.0,29258092.0,0,0,0,0,0,0,23551911.0,0,0,5004222.0,0,1701644.0,0,4971280.0,35229057.0,0.0,0,6428094.0,6428094.0,64089320.0,2800983.0,3147046.0,0,0,0,10148761.0,16096790.0,0,4539173.0,0,3499616.0,8038789.0,24135579.0,39953741.0,39953741.0,64089320.0,0,0,7049894.0,26141179.0,33191073.0,18562833.0,18595097.0,-32264.0,263065.0,230801.0,0,230801.0,0.6,2745279.0,3679143.0,STEPHENS MEMORIAL HOSPITAL,44.21016533,-70.53240982,230801.0,+
8,CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,75835,HOUSTON,U,12.75,137,25,"2,300",86,"1,310",25,"2,300",86,137.0,25.0,2300.0,86.0,0,3100562.0,704221.0,704221.0,967867.0,2286782.0,50543.0,2460359.0,934460.0,9898077.0,10832537.0,99503.0,5473.0,967867.0,0,0,0,-590.0,0,0,8911316.0,-7307143.0,0,0,0,1596330.0,0.0,0,0,0,1860911.0,276986.0,-1240.0,-37042.0,1743573.0,0,0,1982277.0,0,0,0,285981.0,285981.0,2268258.0,-407347.0,-407347.0,1860911.0,0,0,935435.0,11263703.0,12199138.0,2472362.0,3254649.0,-782287.0,374940.0,-407347.0,0,-407347.0,0.23,0,0,CROCKETT MEDICAL CENTER,31.32360364,-95.43889931,407347.0,-
11,SSM - ST. FRANCIS HOSPITAL,2016 SOUTH MAIN STREET,MARYVILLE,MO,64468,NODAWAY,R,66.88,"1,149",38,"3,420",317,"21,183",52,"4,680",483,761.0,38.0,3420.0,317.0,484688.0,876753.0,1042569.0,1559104.0,7366568.0,10735462.0,168835.0,13079980.0,8210211.0,20392797.0,28603008.0,1530471.0,619071.0,7362058.0,217383.0,1705.0,0,3743518.0,0,0,5693387.0,-4499156.0,7017.0,61965.0,0,14783647.0,0.0,0,765091.0,765091.0,15548738.0,542494.0,41804.0,2142.0,0,765091.0,3205243.0,4556774.0,0,-22500.0,0,0,-22500.0,4534274.0,11014464.0,11014464.0,15548738.0,0,0,8574364.0,23223367.0,31797731.0,15942782.0,18102030.0,-2159248.0,2775337.0,616089.0,0,616089.0,0.46,785327.0,3265422.0,MOSAIC MEDICAL CENTER,40.32628433,-94.87638893,616089.0,+
18,NORTHWEST MS MEDICAL CENTER,1970 HOSPITAL DRIVE,CLARKSDALE,MS,38614,COAHOMA,R,301.39,"4,737",181,"27,331",860,"4,737",181,"27,331",860,3428.0,171.0,25821.0,860.0,0,1850819.0,321910.0,854985.0,6515912.0,9247956.0,-64235.0,15357657.0,45863764.0,86844925.0,132708689.0,1747608.0,0,6515912.0,13237.0,0,0,0,0,0,40931908.0,-32042571.0,14812.0,366274.0,0,9270423.0,0.0,0,93190.0,93190.0,9374809.0,1508841.0,0,0,0,0,408200.0,1917041.0,0,0,0,5745882.0,5745882.0,7662923.0,1711886.0,1711886.0,9374809.0,174174.0,0,46747697.0,86182104.0,132929801.0,17300640.0,15763868.0,1536772.0,110246.0,1647018.0,0,1647018.0,0.12,3808357.0,37515078.0,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,34.19596032,-90.55221628,1647018.0,+
23,THE MCDOWELL HOSPITAL,430 RANKIN DRIVE,MARION,NC,28752,MC DOWELL,R,243.45,"2,774",49,"6,027",679,"31,541",49,"6,027",679,2636.0,40.0,4920.0,679.0,667120.0,6032153.0,2830989.0,3622343.0,6338867.0,15142503.0,1144907.0,20455594.0,13747857.0,63569890.0,77317747.0,916023.0,405805.0,6338867.0,0,0,0,4768302.0,0,0,48966636.0,-37338684.0,1392947.0,3785.0,0,19506198.0,0.0,15000.0,935711.0,950711.0,80678071.0,800000.0,2790068.0,0,0,356265.0,4965440.0,19282701.0,0,20639229.0,0,158333.0,20797562.0,40080263.0,40597808.0,40597808.0,80678071.0,0,0,13747856.0,65676735.0,79424591.0,24352149.0,21481370.0,2870779.0,2391710.0,5262489.0,0,5262489.0,0.26,1914939.0,10229217.0,MISSION HOSPITAL MCDOWELL,35.66339557,-82.02847628,5262489.0,+
26,WEST SUBURBAN HOSP MED CTR,3 ERIE COURT,OAK PARK,IL,60302,COOK,U,748.27,"6,863",135,"12,555","1,622","8,889",174,"16,182","1,622",4940.0,114.0,10602.0,1622.0,1327083.0,3251077.0,1917646.0,6126587.0,15056679.0,23035389.0,1523399.0,31810848.0,113202226.0,125129657.0,238331883.0,2955750.0,0,15056679.0,332696.0,0,0,-871628.0,0,0,66165259.0,-42107179.0,3814225.0,847084.0,0,31119022.0,0.0,0,0,0,35860280.0,8704926.0,3768611.0,510942.0,0,0,14434811.0,27419290.0,0,0,0,9335184.0,9335184.0,36754474.0,-894194.0,-894194.0,35860280.0,2393867.0,773013.0,113202226.0,125129657.0,238331883.0,31062884.0,38092068.0,-7029184.0,359910.0,-6669274.0,0,-6669274.0,0.13,3463291.0,73782466.0,PIPELINE - WEST SUBURBAN MEDICAL CENTER LLC - DBA WEST SUBURBAN MEDICAL CENTER,41.8914014,-87.77617956,6669274.0,-
30,SCOTT & WHITE CEDAR PARK,900 E WHITESTONE BLVD,CEDAR PARK,TX,78613,WILLIAMSON,U,27.03,4,8,"1,448",3,4,8,"1,448",3,4.0,8.0,1448.0,3.0,14997.0,51101.0,28167.0,195413.0,980736.0,2146785.0,41424.0,2849690.0,156419.0,10900758.0,11057177.0,156197.0,0,980736.0,900.0,0,0,-1.0,0,0,582983.0,0,94305.0,272938.0,0,3292077.0,0.0,0,0,0,3418881.0,168287.0,100760.0,392.0,0,381913.0,28069.0,1148775.0,0,0,0,0,0,1148775.0,2270106.0,2270106.0,3418881.0,0,0,156419.0,10916055.0,11072474.0,2550332.0,3127521.0,-577189.0,91176.0,-486013.0,0,-486013.0,0.26,67094.0,909270.0,BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER - CEDAR PARK,30.5233139,-97.81984631,486013.0,-
31,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635-,ASHLEY,R,218.13,"4,061",25,"9,125",816,"43,029",35,"12,775",914,2374.0,19.0,6935.0,816.0,282089.0,2357381.0,1283009.0,1646662.0,18002678.0,18511589.0,1856071.0,29807533.0,20288545.0,48357941.0,68646486.0,0,0,0,0,0,0,41454.0,0,0,7995796.0,-4252199.0,983037.0,214151.0,0,6012525.0,0.0,687337.0,515162.0,1202499.0,17238904.0,1786604.0,1475429.0,0,0,0,0,3262033.0,0,4208376.0,0,0,4208376.0,7470409.0,9768495.0,9768495.0,17238904.0,0,0,19954242.0,54364809.0,74319051.0,34841989.0,36514267.0,-1672278.0,2102269.0,429991.0,0,429991.0,0.43,2765770.0,7207032.0,ASHLEY COUNTY MEDICAL CENTER,33.13845416,-91.93879905,429991.0,+
